Key,Item.Type,Publication.Year,Author,Title,Publication.Title,ISBN,ISSN,DOI,Url,Abstract.Note,Date,Date.Added,Date.Modified,Access.Date,Pages,Num.Pages,Issue,Volume,Number.Of.Volumes,Journal.Abbreviation,Short.Title,Series,Series.Number,Series.Text,Series.Title,Publisher,Place,Language,Rights,Type,Archive,Archive.Location,Library.Catalog,Call.Number,Extra,Notes,File.Attachments,Link.Attachments,Manual.Tags
4AC5MTTH,conferencePaper,2014,"Cassis, G.; Cheng, M.; Symonds, C.; Karras, J.; Namyatova, A.; Elias, M.; Stokolska, J.; Hochuli, D.; Pickering, J.; Laffan, S.","A New Synthesis of the Heteroptero of Australia: Information from Plant Bug Inventory, Atlas of Living Australia and Bush Blitz Projects",Proceedings of the Fifth quadrennial meeting of the International Heteropterists' Society,,,,http://ihs.myspecies.info/sites/ihs.myspecies.info/files/2014%20IHS%20Program.pdf,"In 2002 at the International Heteropterists meeting in St. Petersburg I gave a summary of the status of Australian Heteroptera. Much has happened from that period, and about 1500 new species have been discovered, and >300 species have been described. In this talk I will present information from three different continental scale projects that have contributed to these findings: Plant Bug Inventory Project,  Atlas of Living Australia and Bush Blitz. These projects have focused on the collection of all true bugs, but in particular on the plant bugs (Miridae), lace bugs (Tingidae) and seed bugs (Rhyparochromidae). In this talk I will give a synthesis of my lab's contributions to Australian heteropterology, including examples from recent generic-level systematic studies and analysis of host plant associations.",2014,28/2/2018 5:36,28/2/2023 3:11,,,,,,NA,,,,NA,NA,,International Heteropterists' Society,"Washington, DC, USA",not specified,,,,,GS 2014,,-,NA,C:\Users\KEL329\Zotero\storage\Q967V5M9\Cassis et al. - 2014 - A New Synthesis of the Heteroptero of Australia I.pdf,,5 - ALA mentioned
F5URH9BQ,conferencePaper,2014,"Azad, A.A.; Rasul, M.G.; Khan, M.M.K.; Sharma, S.C.",Review of non-edible biofuel resources in Australia for second generation (2G) biofuel conversion,Proceedings of the 9th International Green Energy conference,,,,http://hdl.cqu.edu.au/10018/1029797,"The second generation (2G) biofuels are produced from non-edible feedstocks such as waste vegetable oils and fats, non-food crops, forestry residues, various types of biomass sources. The 2G biofuels are not being produced commercially yet in Australia because it requires more sophisticated processing equipment, more investment per unit fuel production and large scale facilities than the first generation (1G) biofuel. However, 2G biofuel can overcome the social, economic and environmental challenges without hampering our food cost and creating pressure on land use because it is non-edible, biodegradable and can grow on marginal land. The literatures on non-edible energy resources and their biofuel production facilities and present status are reviewed in this paper. The 2G biofuels market status, future plans, government initiatives for 2G biofuel production and technological developments are presented and discussed. Twenty five species available in Australia are selected from the literatures and their oil yield, fuel characteristics; physical and chemical properties are described. Australia's biofuel supply chain nexus from producers to customers is developed where the elements namely primary resources, secondary resources, development and production projects, processing, transport and storage, and finally end user or customer are considered as the main part for the supply chain construction. Although, some research are available on 2G biofuel production, further study using an appropriate supply chain with respect to given feed stocks is needed for producing 2G biofuel in a commercial scale in Australia.",2014,28/2/2018 5:36,11/1/2021 7:45,,867-878,,,,NA,,,,NA,NA,,International Association of Green Energyresearchgate.net,"Tianjin, China",not specified,,,,,GS 2014,,-,NA,C:\Users\KEL329\Zotero\storage\WJUM8LB4\Azad et al. - 2014 - Review of non-edible biofuel resources in Australi.pdf,,2 - ALA cited
UE779XX9,bookSection,2014,"Weston, p.H.; Perkins, A.J.; Indsto, J.O.",Phylogeny of Orchidaceae tribe Diurideae and its implications for the evolution of pollination systems,Darwin's Orchids: Then and Now,978-0-226-04491-0,,,https://books.google.com.au/books?hl=en&lr=&id=cuSqBAAAQBAJ&oi=fnd&pg=PA91&dq=%22Atlas+of+Living+Australia%22+OR+%22Atlas+Living+Australia%22+OR+%22ala.org.au%22&ots=eM1GoaCBqW&sig=4EA5NLdtCV4IU-VtY1UaWLqQc_g&redir_esc=y#v=onepage&q=%22Atlas%20of%20Living%20Australia%22%20OR%20%22Atlas%20Living%20Australia%22%20OR%20%22ala.org.au%22&f=false,"Darwin (1877) interpreted the floral structure and role of cross-pollination in several orchid species endemic to Australasia and now placed in the tribe Diurideae. During the 20th century, the pollination ecology of some Australian species was defined by a number of talented amateurs (Chapters 6 and 7). Using DNA sequencing and a combination of vegetative and reproductive characters, the authors of this chapter construct a phylogeny of genera in this tribe. The phylogeny is used to determine the origin of the tribe and evolutionary trends including the evolution of species that secrete nectar, the derivation of self-pollinated species, and origin of flowers that mimic the bodies of female insects.",2014,28/2/2018 5:37,11/1/2021 7:45,,,,,,NA,,,,NA,NA,,University Press,,not specified,,,,,GS 2014,,10.7208/chicago/9780226173641.001.0001,NA,C:\Users\KEL329\Zotero\storage\KMCSR8XH\Weston et al. - 2014 - Phylogeny of Orchidaceae tribe Diurideae and its i.pdf,,2 - ALA cited
G3TC5LG5,bookSection,2014,"Owonibi, Michael; Koenig-Ries, Birgitta",A Quality Management Workflow Proposal for a Biodiversity Data Repository,Advances in Conceptual Modeling,978-3-319-12255-7 978-3-319-12256-4,,,,,2014,28/2/2018 5:38,11/1/2021 7:44,,157-167,,,,NA,,,Lecture Notes in Computer Science,NA,NA,,,,not specified,,,,,GS 2014,,10.1007/978-3-319-12256-4_17,NA,C:\Users\KEL329\Zotero\storage\PAF7NZ2J\Owonibi-2014-A Quality Management Workflow Pro.pdf,,5 - ALA mentioned
3QU8KI3Z,bookSection,2014,"Norton, G. A.; Walters, T. W.; LaForest, J.; Walker, K.; Taylor, M.; Winterton, S.; Kong, G.",Digital Identification Tools in Regulatory Science and Practice,The Handbook of Plant Biosecurity,978-94-007-7364-6 978-94-007-7365-3,,,,,2014,28/2/2018 5:39,11/1/2021 7:44,,339-373,,,,NA,,,,NA,NA,,,,not specified,,,,,GS 2014,,10.1007/978-94-007-7365-3_12,NA,C:\Users\KEL329\Zotero\storage\4PS4SE2A\Norton-2014-Digital Identification Tools in Re.pdf,,5 - ALA mentioned
HLPDD3SE,bookSection,2014,"Nipperess, D.A.","A separate creation: diversity, distinctiveness and conservation of Australian wildlife",Austral Ark: The State of Wildlife in Australia and New Zealand,978-1-107-03354-2,,,,"Australia is biologically diverse, with around 150000 described species, representing perhaps 25% of the total number present. However, this biota is more notable for its endemism than its richness (e.g. 94% of Australian frog species are found nowhere else). Australia is distinctive, not only in terms of endemism, but also in terms of evolutionary adaptations (e.g. large hopping mammals) and ecological processes (e.g. nutrient cycling by fire). Distinctiveness is attributed to three principal factors: (1) a long period of geographic isolation; (2) the preponderance of ancient soils low in key nutrients; and (3) an increasingly arid and inherently unpredictable climate. Australia is also unfortunately distinctive in the scale of biodiversity loss since European settlement with 98 species and subspecies listed as extinct, and a further 1700 threatened with extinction. Both for historical extinctions and currently threatened species, habitat loss and introduced species are the key threats, while climate change is the emerging and possibly most significant threat of the twenty-first century. In the face of these perils, Australia's distinctive wildlife needs special attention because it makes such a large contribution to the biodiversity and cumulative evolutionary history of the planet. Introduction Australia is a biologically unusual continent. This is easily shown by a few examples such as the presence of large hopping marsupials, the prevalence of fire-adapted vegetation, and the sheer diversity of arid-zone lizards. Entire groups of organisms are found nowhere else. Many more are largely confined to the Australian continent, with only a few representatives on nearby islands, such as New Guinea. While visiting Australia and pondering the unusual Australian animals, Charles Darwin wrote in his diary: ""An unbeliever in everything beyond his own reason, might exclaim 'Surely two distinct creators must have been at work ...'"" (p.402 of Darwin, 2001). The Australian fauna was so different from that found in Europe, Asia or the Americas, it was as though it was created completely separately from that elsewhere. Of course, Darwin was essentially correct in that Australian wildlife, to a large extent, have been 'created' separately. This separateness, however, was not the work of a separate supernatural entity, but rather the result of a long period of independent evolution on an isolated continent subjected to significant and unusual environmental change.",2014,28/2/2018 5:37,11/1/2021 7:42,,,,,,NA,,,,NA,NA,,Cambridge University Press,,not specified,,,,,GS 2014,,10.1017/CBO9781139519960,NA,C:\Users\KEL329\Zotero\storage\32B4J87Z\9781107033542_excerpt.pdf,,2 - ALA cited
8YL9RK36,bookSection,2014,"Mucina, L.; Laliberte, E.; Thiele, K.R.; Dodson, J.R.; Harvey, J.","Biogeography of kwongan: origins, diversity, endemism and vegetation patterns",Plant Life on the Sandplains in Southwest Australia - A Global Biodiversity Hotspot,978-1-74258-564-2,,,http://research-repository.uwa.edu.au/en/publications/biogeography-of-kwongan-origins-diversity-endemism-and-vegetation-patterns(9d6eb78f-97ed-4412-8ed4-d16c57149dc5)/export.html,,2014,28/2/2018 5:37,11/1/2021 7:42,,35-79,,,,NA,,,,NA,NA,,UWA Publishing,"Perth, WA, Australia",not specified,,,,,GS 2014,,-,NA,"C:\Users\KEL329\Zotero\storage\FL5EMBRU\Mucina et al. - 2014 - Biogeography of kwongan origins, diversity, endem.pdf",,2 - ALA cited
9B2DSQTQ,bookSection,2014,"Liu, H.; Feng, C.L.; Xie, X.O.; Lin, W.; Deng, Z.H.; Wei, X.L.; Liu, S.Y.; Luo, Y.B.","Impacts of Extreme Weather Spells on Flowering Phenology of Wild Orchids in Guangxi, Southwestern China",Darwin's Orchids: Then and Now,978-0-226-04491-0,,,,"Darwin (1877) noted that the ability of orchid flowers to set fruit correlated positively with pollinator activity but pollinator activity was influenced by environmental changes. The authors of this chapter addressed the current literature on how climate changes influence the activity and seasonality of insects and flowering plants. A three year field study was conducted at a reserve in southwestern China on flowering seasons in 54 orchid species. A long, cold winter in 2008 delayed flower initiation in approximately half the species observed by five days or more. In contrast, a drought in 2010 delayed flowering by five days in three terrestrial orchid species belonging to the genus Geodorum.",2014,28/2/2018 5:37,11/1/2021 7:40,,,,,,NA,,,,NA,NA,,University Press,,not specified,,,,,GS 2014,,10.7208/chicago/9780226173641.001.0001,NA,C:\Users\KEL329\Zotero\storage\82BSB4SP\Liu et al. - 2014 - Impacts of Extreme Weather Spells on Flowering Phe.pdf,,2 - ALA cited
CTQW7TAW,bookSection,2014,"Heads, M.",1 The spatial component of evolution,Biogeography of Australasia: A Molecular Analysis,978-1-107-04102-8 $112,,,,,2014,28/2/2018 5:48,11/1/2021 7:39,,,,,,NA,,,,NA,NA,,Cambridge University Press,Cambridge,not specified,,,,,GS 2013,,10.1093/sysbio/syu074,NA,C:\Users\KEL329\Zotero\storage\NRYM4M2A\cd1c0ddcecfedf9e2e23f61098a3f79a7a11.pdf,,2 - ALA cited
NEPQ4ZZR,bookSection,2014,"Collins, L.; Alvarez, D.; Chauhan, A.",Phycoremediation Coupled with Generation of Value-Added Products,Microbial Biodegradation and Bioremediation,,,,,,2014,28/2/2018 5:40,11/1/2021 6:29,,341-387,,,,NA,,,,NA,NA,,,,English,,,,,GS 2014,,10.1016/B978-0-12-800021-2.00015-7,NA,C:\Users\KEL329\Zotero\storage\QJVTRFDE\Collins-2014-Phycoremediation Coupled with Gen.pdf,,5 - ALA mentioned
ZHEVPTAM,book,2014,"Morton, S.; Lonsdale, M.; Sheppard, A.",Biodiversity: Science and Solutions for Australia,,978-1-4863-0206-2,,,https://books.google.com.au/books?hl=en&lr=&id=E_6TBQAAQBAJ&oi=fnd&pg=PT8&dq=%22Atlas+of+Living+Australia%22+OR+%22Atlas+Living+Australia%22+OR+%22ala.org.au%22&ots=q1s-_slm_S&sig=XPhhxbgWG7ZwNI67iFxvd6y4VrY&redir_esc=y#v=onepage&q=%22Atlas%20of%20Living%20Australia%22%20OR%20%22Atlas%20Living%20Australia%22%20OR%20%22ala.org.au%22&f=false,,2014,28/2/2018 5:37,11/1/2021 6:13,,,232,,,NA,,,,NA,NA,,books.google.com,,not specified,,,,,GS 2014,,-,NA,C:\Users\KEL329\Zotero\storage\6VRE534N\Morton et al. - 2014 - Biodiversity Science and Solutions for Australia.pdf,,3 - ALA discussed
44Y3LQEJ,report,2015,"Leith, P.; Harris, R.M.B.; Bridle, K.; Kemmerer, E.; Baldwin, A.; Diddams, L.",A Means-to-an-end: a process guide for participatory spatial prioritisation in Australian natural resource management,,,,,https://terranova.org.au/repository/southern-slopes-nrm-collection/means-to-an-end-a-process-guide-for-participatory-spatial-prioritisation-in-australian-natural-resource-management/scarp-spatial-prioritisation-report.pdf,,2015,28/2/2018 5:37,23/3/2023 6:32,,,,,,NA,,,,NA,NA,,"Southern Slopes Climate Change Adaptation Research Partnership (SCARP), University of Tasmania","Hobart, Australia",not specified,,,,,GS 2015,,-,NA,C:\Users\KEL329\Zotero\storage\U2B3PI2P\Leith et al. - 2015 - A Means-to-an-end a process guide for participato.pdf,,5 - ALA mentioned
JJ9T2CCI,bookSection,2015,"Spain, A.V.; Tibbett, M.; Hinz, D.A.; Ludwig, J.A.; Tongway, D.J.",The mining-restoration system and ecosystem development following bauxite mining in a biodiverse environment of the seasonally dry tropics of Australia,Mining in Ecologically Sensitive Landscapes,978-0-643-10635-2,,,https://books.google.com.au/books?hl=en&lr=&id=K69gCgAAQBAJ&oi=fnd&pg=PA159&dq=%22Atlas+of+Living+Australia%22+OR+%22Atlas+Living+Australia%22+OR+%22ala.org.au%22&ots=uoYFi8Ogwp&sig=xq7GAZs_Q2r9abk5zFhxHQKuLSE&redir_esc=y#v=onepage&q=%22Atlas%20of%20Living%20Australia%22%20OR%20%22Atlas%20Living%20Australia%22%20OR%20%22ala.org.au%22&f=false,,2015,28/2/2018 5:37,11/1/2021 6:11,,288,,,,NA,,,,NA,NA,,CSIRO,,not specified,,,,,GS 2015,,-,NA,C:\Users\KEL329\Zotero\storage\X28ZCGJX\Chapter9-proofedits.pdf,,2 - ALA cited
KT35UAJT,thesis,2015,"Vaquiz, Z.A.M.",Estudio y desarrollo de textiles funcionales con capacidad de repulsion de insectos,,,,,https://riunet.upv.es/handle/10251/59007,The project involves the application of different active substances on textiles by different application techniques. Fabrics were be treated with different repellent compounds and fabrics should be characterized. Substance will be evaluated their durability in the fabric by washing cycles; finally repellent efficacy will be studied on an insect species to be determined.,2015,28/2/2018 6:09,8/1/2021 8:10,,,,,,NA,,,,NA,NA,,Universitat Politecnica de Valencia,,not specified,,Masters,,,GS 2015,,-,NA,C:\Users\KEL329\Zotero\storage\B46I7TJ7\MONTIEL - Estudio y desarrollo de textiles funcionales con capacidad de repulsión de insectos.pdf,,2 - ALA cited
JW37CKEQ,thesis,2015,"Truskinger, A.",Semi-automated annotation of environmental acoustic recordings,,,,,https://eprints.qut.edu.au/84543/,,2015,28/2/2018 6:08,8/1/2021 8:10,,,,,,NA,,,,NA,NA,,QUT,,not specified,,,,,GS 2015,,-,NA,C:\Users\KEL329\Zotero\storage\BTNDURBD\Anthony_Truskinger_Thesis.pdf,,5 - ALA mentioned
Y3554DFG,thesis,2015,"Tribull, C. M.","Molecular and morphometric phylogenetics of Dryinidae and Bethylidae (Hymenoptera, Chrysidoidea)",,,,,http://digitallibrary.amnh.org/handle/2246/6715,,2015,28/2/2018 6:08,8/1/2021 8:05,,,,,,NA,,,,NA,NA,,Richard Gilder Graduate School at the American Museum of Natural History,,not specified,,,,,GS 2015,,-,NA,C:\Users\KEL329\Zotero\storage\YZBRKCNX\Tribull 2015.pdf,,2 - ALA cited
Q2FGMGRZ,thesis,2015,"Thomas-Knott, Deborah L.",Investigating the potential of 34 plants used in traditional Chinese medicine as anticancer agents,,,,,http://search.proquest.com/openview/314ce6acabf3fb0519e626ca1bddac6e/1?pq-origsite=gscholar&cbl=18750&diss=y,"The use of traditional medicines in China known as traditional Chinese medicine (TCM) dates back thousands of years as chronicled in several Chinese pharmacopeias along with other civilizations who have mimicked this same tradition, each developing their own unique pharmacopeias with thousands of plants and other organisms identified in these records as having distinctive medicinal properties. All the plants selected for this study by the Guangxi Botanical Garden of Medicinal Plants were done so on the basis of their reputation of protracted use over thousands of years to treat cancer in TCM, nine out of the 34, specifically with anti-cancer claims. Therefore, the working hypothesis of this study was: Each plant chosen for this study out of the ancient pharmacopeia of Traditional Chinese Medicine will show at least 60% in vitro inhibition in at least one human cancer cell line without showing over 25% inhibition in vitro in at least one normal human cell line. Background information on each of the 34 plants used in this study was collected as to their order, family genus and species, native habitat, uses in TCM and other folk medicines as well as what compounds that have been discovered from them. The purpose of this study was to evaluate 4 fractionations of each plant, petroleum ether, ethyl acetate, ethanol and water, from 34 of the most used plants in TCM for a total of 136 extracts and their in vitro anticancer activity against human cancer cell lines of breast, bone and lung, to test their respective toxicity in vitro against normal human breast and lung cell lines. The materials used were the breast cancer cell lines BT20 and MCF7, the lung cancer cell line A549 and bone cancer line U2OS with normal lines of breast and lung, HMEC and HPL1A respectively, serving as controls, all tested in accordance with the Alamar Blue screening assay protocol. Fluorescence readings which correlated with cell viability were measured using a micro plate reader that measured fluorescence excitation wavelength of 555nm and emission wavelength of at 585nm and the percent inhibition of extracts was calculated along with selectivity to reveal 46 solid hits from 20 of the 34 plants that had at least a 4 fold selectivity score and a minimum of 60% inhibition in at least one of the cancer cell lines and no more than a 25% inhibition in either of the two normal cell lines. Of the 135 extracts tested, (the water extract of Rubus reflexus Ker var lancelobus Metc. was lost), 34.0% were identified as hits with significant enough activity found in 58.8% of the plants to warrant further investigation by the criteria set forth by this study. The plants selected from this study that met the criterion in the study's hypothesis and showed the most promise were the plants bolded on the list within this paper, being ones for which previous claims of anti-tumor activity in TCM existed.",2015,28/2/2018 6:08,8/1/2021 8:04,,,193,,,NA,,,,NA,NA,,Middle Tennessee State University,Ann Arbor,English,,M.S.,,1752091845,ProQuest,,-,NA,C:\Users\KEL329\Zotero\storage\7LUCDLXU\Thomas-Knott - 2015 - Investigating the potential of 34 plants used in t.pdf,,2 - ALA cited
DHX59WWC,thesis,2015,"Sumadijaya, A.","Morphology, Molecular Phylogeny and Genome content of Bothriochloa focusing on Australian taxa",,,,,https://vtechworks.lib.vt.edu/handle/10919/73657,"The study focuses on the genus Bothriochloa (Andropogoneae, Poaceae) in Australia. Despite morphological features separating this genus from the closely related two genera Capillipedium and Dichanthium, (the three hereafter will be called BCD), De Wet and Harlan introduced the compilospecies complex to show the interbreeding phenomena that occurred among species of these genera. This study was carried out to assess species/genus relatedness of the BCD complex using different evidences from morphology, molecular information and genomic content. Nineteen morphological characters were observed, three regions (trnT-F, rps16 intron and 3'trnK) of chloroplast genome phylogenetic were used in phylogenetic reconstruction, and chromosome counting as well as flow cytometry for chromosome number and genome size were conducted during the study. Phylogenetic trees were constructed using MP with NJ for morphological data, and MP, RAxML, and BI for molecular data. Based on morphology, all three genera were separated as monophyletic units. Bothriochloa consisted of two clades. However, phylogenetic analyses based on chloroplast genomic regions reveal that Bothriochloa and Dichanthium are paraphyletic clades and only Capillipedium is resolved as a monophyletic clade. The concatenated data set has performed better than individual data sets in terms of resolution and support for clades. Flow-cytometry and chromosome counting only found diploid and tetraploid but not hexaplod species. TCS network reveals that tetraploidization followed different pathways from the ancestral diploid species. This study provided new insight onto the evolution of the chloroplast genome in the compilospecies and empirical evidence of species grouping of the compilospecies based on morphology.",2015,28/2/2018 6:07,15/3/2023 0:07,,,,,,NA,,,,NA,NA,,Virgiinia Polytechnic Isntitute and State University,,not specified,,,,,GS 2015,,-,NA,C:\Users\KEL329\Zotero\storage\BT8KLZQB\Sumadijaya_A_T_2015.pdf,,2 - ALA cited
WYLSWXZW,thesis,2015,"Sparks, K. S.",Australian Monomorium: systematics and species delimitation with a focus on the M. rothsteini complex,,,,,https://digital.library.adelaide.edu.au/dspace/handle/2440/98121,,2015,28/2/2018 6:07,8/1/2021 8:02,,,,,,NA,,,,NA,NA,,University of Adelaide,,not specified,,,,,GS 2015,,-,NA,C:\Users\KEL329\Zotero\storage\3C4HF48G\02whole (1).pdf,,2 - ALA cited
PM5NGEJ2,thesis,2015,"Shanks, Jenny Lee",Tetragonula carbonaria and disease: Behavioural and antimicrobial defences used by colonies to limit brood pathogens,,,,,https://search.proquest.com/docview/1949731730?accountid=26957,"The honey bee, Apis mellifera, is suffering heavily from the impacts from intensive management. Pests and diseases contribute to the population losses experienced globally. Brood disease is of concern for the apiculture industry because of the direct effects it has on population numbers and despite control measures; resistance to antibiotics and pesticides are common. Alternative pollinators such as stingless bees, including Tetragonula carbonaria, appear to be less impacted by brood diseases. However, there is very little information regarding why this is so. Prior to this study, there are only a few indications about a possible bacterial brood disease in Brazilian stingless bees (Kerr 1948, Nogueira-Neto 1997), with no follow up investigations, and no cases of brood disease losses in Australian stingless bees. As a result, this study presents information on the behavioural and antimicrobial defences of T. carbonaria colonies as mechanisms to limit the development of brood pathogens. In addition to these aims and objectives, this study also introduces and documents the first disease causing brood pathogen in Australian stingless bees. Therefore, the interaction of the defence mechanisms and the identified brood pathogen was also explored.    Suitable nest conditions need to exist to sustain pathogen growth and development. Apis mellifera pathogens such as Paenibacillus larvae and Ascosphaera apis utilise nest conditions, especially in the brood area for growth. The limited number of stingless bee pathogens may be related to brood temperature. Thermoregulation behaviour has been investigated in a number of stingless bee species; however, Australian studies are limited to Austroplebeia australis (Halcroft et al. 2013b) and greenhouse maintained T. carbonaria colonies (Amano et al. 2000, Amano 2004, A. Tse, pers. comm., 2011), with outcomes applied to their pollination servicing. This study (Chapter 2) investigated T. carbonaria thermoregulation behaviours during fluctuating ambient temperatures and the influence these have on brood production. Over the 13-month study, T. carbonaria was able to maintain brood temperatures between 15-31ºC, despite ambient temperatures ranging from 0-37°C. The recorded brood temperatures resulted in colonies maintaining yearlong brood development, which would suggest that this could provide a suitable resource for pathogen development year-round. However, pathogen occurrences are rare, it is speculated that the greater brood temperature range which is tolerated by colonies, is ultimately unsuitable for brood pathogen development, especially the lower winter temperatures.",2015,21/1/2020 3:22,8/1/2021 7:52,,,308,,,NA,,,,NA,NA,,University of Western Sydney (Australia),Ann Arbor,English,,Ph.D.,,1949731730,ProQuest,,-,NA,C:\Users\KEL329\Zotero\storage\6ABXDBXZ\Shanks - 2015 - Tetragonula carbonaria and disease Behavioural an.pdf,,5 - ALA mentioned
85WMZE5C,thesis,2015,"Ruschel, T.P.","Revisao taxonomica de Dorisiana METCALF, 1952 (Hemiptera, Auchenorrhyncha, Cicadidae, Cicadinae, Fidicinini)",,,,,http://repositorio.pucrs.br/dspace/handle/10923/7325,"The members of Cicadidae are insects popularly known as cicadas, easily recognized in your environment because of male singing. Cicadoidea is currently divided into Tettigarctidae and Cicadidae, and this into three subfamilies: Cicadinae, Cicadettinae and Tibicininae. Cicadinae has many neotropical tribes, Fidicinini, one of the most representative, is divided into Fidicinina and Guyalnina and has 16 genera. Into Fidicinina, Fidicina and Fidicinoides are the ones with highest number of described species and none of the other genera of the tribe has a taxomic revision, being absent publications that establish characters to distinguish them. Into Guyalnina, Dorisiana has economic importance as pest of coffee and also taxonomic problems, besides the lack of morphological characters needed for its determination, which is increased by the lack of a review covering all genera present in the tribe. The general goal of this work was execute the taxonomic revision of Dorisiana species improving the knowledge about the taxon, with the specific objective to analyze the morphology of the genus from deposited specimens of collections of national and international institutions; describe the morphological species, including photographs and ilustrations, mostly of the male genitalia; produce a pictorial dichotomous key to distinguish the Dorisiana species. Therefore, of the 16 species of the genus, previously known, four were synonymized, two new combinations and two new species were described, totaling 16 valid species, covered in the pictorial dichotomous key.From these results and studies that led to it, is perceived a great lack of group by works that delimit characters needed for your determination, for genus and species, which is also shared by others neotropical tribes. Starting of these assumptions suggested in the future more studies on characters for a cladistics analysis of the Dorisiana species and the continuity of the studies with the members of the tribe to establish reliable characters in recognition of evolutionary lineages.",2015,28/2/2018 6:09,8/1/2021 7:51,,,,,,NA,,,,NA,NA,,Pontifícia Universidade Católica do Rio Grande do Sul,,not specified,,Masters,,,GS 2015,,-,NA,"C:\Users\KEL329\Zotero\storage\CLMITV9B\Ruschel - 2015 - Revisão taxonômica de Dorisiana METCALF, 1952 (Hem.pdf",,2 - ALA cited
2XKLKNBI,thesis,2015,"Rodrigues, P.A.",A vegetacao ornamental em uso na segunda metade do sec. XIX ea recuperacao de paisagens de valor historico,,,,,https://sigarra.up.pt/fcup/pt/pub_geral.show_file?pi_gdoc_id=716853,,2015,28/2/2018 5:37,8/1/2021 7:51,,,,,,NA,,,,NA,NA,,Porto University,"Porto, Portugal",not specified,,Masters,,,GS 2015,,-,NA,C:\Users\KEL329\Zotero\storage\97QNDYRT\Rodrigues - 2015 - A vegetação ornamental em uso na segunda metade do.pdf,,2 - ALA cited
Q7QXCWJI,thesis,2015,"Ramos Castillejos, J. E.","Life-history and population dynamics of the range extending Octopus tetricus (Gould, 1852) in south-eastern Australia",,,,,https://eprints.utas.edu.au/23212/,,2015,28/2/2018 6:07,8/1/2021 7:50,,,,,,NA,,,,NA,NA,,UTas,,not specified,,,,,GS 2015,,-,NA,C:\Users\KEL329\Zotero\storage\8HVKXPHZ\Ramos_Castillejos_whole_thesis_ex_pub_mat.pdf,,2 - ALA cited
J5FGJJPB,thesis,2015,"Owens, J.",Assembling Horses in Kosciuszko National Park,,,,,http://ro.uow.edu.au/thss/7/,"Kosciuszko National Park is located around 350km south-west of Sydney and is the largest National Park in NSW. Kosciuszko National Park is home to a horse population of an estimated 6000 horses. The presence of these horses within the park is highly controversial due to a range of stakeholders having different perspectives based on different contexts that horses can be placed in. With the 2008 Horse Management Plan up for review in 2013, the re-introduction of aerial culling as a control method was being considered. This created a large divide and subsequent debates around factors such as actual horse numbers in the park, horse impacts, horse control methods and the ideas around the horses' right to belong in the Park. Data for this project was accessed through a range of sources such as semistructured interviews and online content that was made available through discussion forums and social media. A main focus of the methodology involved situating myself within the project to experience an entirely embodied approach to the research, therefore introducing the idea of 'brumbiness'. Analysis of the debate was approached by using the conceptual tool of assemblage thinking. By investigating the assemblages of the horse, the horse was deconstructed which allowed the debate to be analysed through these various horse constructs. An analysis of the 2008 Horse Management Plan opened up the view of the NPWS as seeing the horse as feral. Analysis of the public debate saw the horse assembled as 'brumby' or 'feral', and the politics of blame were explored to uncover different perspectives towards impacts within Kosciuszko National Park. Horse narratives were also analysed to give further insight into the assemblage of the horse as a brumby, and how connections that develop between humans and horses play an integral part in the forming of people's experiences of brumbiness.",2015,28/2/2018 6:06,15/3/2023 0:10,,,,,,NA,,,,NA,NA,,University of Wollongong,,not specified,,,,,GS 2015,,-,NA,C:\Users\KEL329\Zotero\storage\DQM7VLTP\Assembling Horses in Kosciuszko National Park.pdf,,2 - ALA cited
U4LJQI8N,thesis,2015,"Muriuki, E. N.",Nutritional diversity of leafy amaranth (Amaranthus) species grown in Kenya,,,,,http://ir.jkuat.ac.ke:8080/handle/123456789/1592,,2015,28/2/2018 6:06,8/1/2021 7:47,,,,,,NA,,,,NA,NA,,Jomo Kenyatta University of Agriculture and Technology,,not specified,,,,,GS 2015,,-,NA,"C:\Users\KEL329\Zotero\storage\7P8CG3QK\MURIUKI,  ESTHER NJERI  -Msc Food Science and.pdf",,2 - ALA cited
P6BU7XXD,thesis,2015,"Lingard, K.",Legal and Institutional Strategies to Support the Interests of Aboriginal and Torres Strait Islander Peoples in Bush Food Commercialisation,,,,,https://www.nintione.com.au/resources/rao/legal-and-institutional-strategies-to-support-the-interests-of-aboriginal-and-torres-strait-islander-peoples-in-bush-food-commercialisation/,,2015,28/2/2018 5:37,8/1/2021 7:46,,,,,,NA,,,,NA,NA,,"University of New Englan, NSW, Australia",,not specified,,PhD,,,GS 2015,,-,NA,C:\Users\KEL329\Zotero\storage\ZGKI89Z7\Lingard - 2015 - Legal and Institutional Strategies to Support the .pdf,,2 - ALA cited
7MHU7W7E,thesis,2015,"Leng, M. C.",Reptile assemblages and agroforestry in the southwest Australian wheatbelt,,,,,http://research-repository.uwa.edu.au/en/publications/reptile-assemblages-and-agroforestry-in-the-southwest-australian-wheatbelt(2cd03fb9-40da-41af-ae5d-f1c54b1cd895).html,,2015,28/2/2018 6:05,8/1/2021 7:44,,,,,,NA,,,,NA,NA,,UWA,,not specified,,,,,GS 2017,,-,NA,C:\Users\KEL329\Zotero\storage\IP8VIXLL\Leng_Mei_Chen_2015.pdf,,2 - ALA cited
